ExtendedProperties,StudentID,ProgramCode,ProgramDescription,EligibilityStartDate,EligibilityEndDate,ParticipationStartDate,ParticipationEndDate,AcademicYear,ExtractedAt
[],42320,122,NCLB Title I Part A Basic Targeted,,,2018-11-26T00:00:00,2019-01-25T00:00:00,2021-2022,2026-02-22T00:12:11.319980
"[{'Name': 'DisabilityCode', 'Value': '290'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Specific Learning Disability (SLD)'}, {'Name': 'DisabilityCode2', 'Value': '200'}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '0001-01-01T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",42349,144,Special Education,2016-02-02T00:00:00,,,,2021-2022,2026-02-22T00:12:11.319980
[],42349,181,NSLP Free Meal Program,2012-09-21T00:00:00,2014-10-02T00:00:00,2012-09-25T00:00:00,,2021-2022,2026-02-22T00:12:11.319980
[],42349,182,NSLP Reduced-Price Meal Program,2014-10-03T00:00:00,2015-06-11T00:00:00,,,2021-2022,2026-02-22T00:12:11.319980
[],42349,181,NSLP Free Meal Program,2015-08-20T00:00:00,2016-03-25T00:00:00,,,2021-2022,2026-02-22T00:12:11.319980
[],42349,182,NSLP Reduced-Price Meal Program,2018-09-17T00:00:00,2019-06-13T00:00:00,,,2021-2022,2026-02-22T00:12:11.319980
[],42349,182,NSLP Reduced-Price Meal Program,2019-08-26T00:00:00,2020-06-11T00:00:00,,,2021-2022,2026-02-22T00:12:11.319980
[],42349,122,NCLB Title I Part A Basic Targeted,,,2015-09-28T00:00:00,2016-06-09T00:00:00,2021-2022,2026-02-22T00:12:11.319980
[],42349,122,NCLB Title I Part A Basic Targeted,2021-10-04T00:00:00,2022-06-08T00:00:00,2021-10-04T00:00:00,2022-06-08T00:00:00,2021-2022,2026-02-22T00:12:11.319980
"[{'Name': 'DisabilityCode', 'Value': '320'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Autism (AUT)'}, {'Name': 'DisabilityCode2', 'Value': '240'}, {'Name': 'DisabilityCode2Description', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'ParentalConsentDate', 'Value': '0001-01-01T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",42427,144,Special Education,2019-04-04T00:00:00,,,,2021-2022,2026-02-22T00:12:11.319980
