ExtendedProperties,StudentID,ProgramCode,ProgramDescription,EligibilityStartDate,EligibilityEndDate,ParticipationStartDate,ParticipationEndDate,AcademicYear,ExtractedAt
[],46560,101,504 Accommodation Plan,2025-10-21T00:00:00,,2025-10-21T00:00:00,,2025-2026,2026-02-22T00:23:38.893767
[],46568,181,NSLP Free Meal Program,2023-08-16T00:00:00,2024-06-13T00:00:00,,,2025-2026,2026-02-22T00:23:38.893767
[],46568,181,NSLP Free Meal Program,2025-01-02T00:00:00,,,,2025-2026,2026-02-22T00:23:38.893767
[],46568,181,NSLP Free Meal Program,2025-07-02T00:00:00,2026-06-30T00:00:00,,,2025-2026,2026-02-22T00:23:38.893767
[],46569,181,NSLP Free Meal Program,2023-08-16T00:00:00,2024-06-13T00:00:00,,,2025-2026,2026-02-22T00:23:38.893767
[],46569,182,NSLP Reduced-Price Meal Program,2024-08-15T00:00:00,2024-08-15T00:00:00,,,2025-2026,2026-02-22T00:23:38.893767
[],46569,182,NSLP Reduced-Price Meal Program,2024-08-21T00:00:00,2025-06-12T00:00:00,,,2025-2026,2026-02-22T00:23:38.893767
[],46569,182,NSLP Reduced-Price Meal Program,2025-08-13T00:00:00,2026-06-30T00:00:00,,,2025-2026,2026-02-22T00:23:38.893767
[],46569,122,NCLB Title I Part A Basic Targeted,,,2023-09-25T00:00:00,2025-06-12T00:00:00,2025-2026,2026-02-22T00:23:38.893767
[],46569,305,LIP - Structured English Immersion Program or other predominantly English Language Instructional Models,2023-08-22T00:00:00,,,,2025-2026,2026-02-22T00:23:38.893767
[],46569,122,NCLB Title I Part A Basic Targeted,,,2023-09-25T00:00:00,2023-11-09T00:00:00,2025-2026,2026-02-22T00:23:38.893767
[],46569,122,NCLB Title I Part A Basic Targeted,,,2024-08-21T00:00:00,2025-06-12T00:00:00,2025-2026,2026-02-22T00:23:38.893767
[],46571,101,504 Accommodation Plan,2025-08-19T00:00:00,,2025-08-19T00:00:00,,2025-2026,2026-02-22T00:23:38.893767
"[{'Name': 'DisabilityCode', 'Value': '290'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Specific Learning Disability (SLD)'}, {'Name': 'DisabilityCode2', 'Value': ''}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '0001-01-01T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",44017,144,Special Education,2022-05-17T00:00:00,,,,2025-2026,2026-02-22T00:23:38.893767
[],44017,181,NSLP Free Meal Program,2016-08-30T00:00:00,2017-06-08T00:00:00,,,2025-2026,2026-02-22T00:23:38.893767
[],44017,181,NSLP Free Meal Program,2018-08-23T00:00:00,2019-06-13T00:00:00,,,2025-2026,2026-02-22T00:23:38.893767
[],44017,182,NSLP Reduced-Price Meal Program,2020-08-25T00:00:00,2021-06-10T00:00:00,,,2025-2026,2026-02-22T00:23:38.893767
[],44017,181,NSLP Free Meal Program,2022-08-10T00:00:00,2022-08-10T00:00:00,,,2025-2026,2026-02-22T00:23:38.893767
