ExtendedProperties,StudentID,ProgramCode,ProgramDescription,EligibilityStartDate,EligibilityEndDate,ParticipationStartDate,ParticipationEndDate,AcademicYear,ExtractedAt
[],44754,181,NSLP Free Meal Program,2019-08-22T00:00:00,2020-06-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44754,181,NSLP Free Meal Program,2020-08-24T00:00:00,2021-06-10T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44754,181,NSLP Free Meal Program,2021-08-19T00:00:00,2022-06-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44754,181,NSLP Free Meal Program,2022-08-18T00:00:00,2023-06-08T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44754,181,NSLP Free Meal Program,2022-08-10T00:00:00,2022-08-10T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44754,181,NSLP Free Meal Program,2023-08-11T00:00:00,2023-08-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44754,181,NSLP Free Meal Program,2023-07-03T00:00:00,2024-06-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44754,122,NCLB Title I Part A Basic Targeted,,,2018-10-01T00:00:00,2019-05-23T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44754,305,LIP - Structured English Immersion Program or other predominantly English Language Instructional Models,2019-08-23T00:00:00,,,,2023-2024,2026-02-22T00:20:49.056312
[],44754,122,NCLB Title I Part A Basic Targeted,,,2022-09-29T00:00:00,2023-02-17T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44754,122,NCLB Title I Part A Basic Targeted,,,2023-09-18T00:00:00,2023-11-16T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44754,122,NCLB Title I Part A Basic Targeted,,,2024-01-24T00:00:00,2024-04-19T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44755,122,NCLB Title I Part A Basic Targeted,,,2024-01-24T00:00:00,2024-04-19T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '240'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'DisabilityCode2', 'Value': '200'}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '0001-01-01T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",44757,144,Special Education,2016-11-29T00:00:00,2023-06-06T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44757,181,NSLP Free Meal Program,2018-08-23T00:00:00,2019-06-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44757,181,NSLP Free Meal Program,2019-09-03T00:00:00,2020-06-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44757,181,NSLP Free Meal Program,2020-08-24T00:00:00,2021-06-10T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44757,181,NSLP Free Meal Program,2021-08-19T00:00:00,2022-06-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44757,181,NSLP Free Meal Program,2022-08-18T00:00:00,2023-06-08T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44757,182,NSLP Reduced-Price Meal Program,2022-08-12T00:00:00,2022-08-12T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44757,182,NSLP Reduced-Price Meal Program,2022-08-12T00:00:00,2022-08-12T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44757,181,NSLP Free Meal Program,2023-08-09T00:00:00,2023-08-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44757,181,NSLP Free Meal Program,2023-07-03T00:00:00,2024-04-17T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44757,182,NSLP Reduced-Price Meal Program,2024-04-18T00:00:00,,,,2023-2024,2026-02-22T00:20:49.056312
[],44757,122,NCLB Title I Part A Basic Targeted,,,2018-10-01T00:00:00,2019-05-23T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44757,122,NCLB Title I Part A Basic Targeted,,,2020-01-27T00:00:00,2020-06-08T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44757,305,LIP - Structured English Immersion Program or other predominantly English Language Instructional Models,2019-08-23T00:00:00,,,,2023-2024,2026-02-22T00:20:49.056312
