local_id,state_id
42814,4108660018
46080,6962782195
43066,2256988217
46336,9442685081
43624,9479649137
42817,5113765675
45993,9694676430
44106,4976887454
43111,3212997197
44566,9099371981
44564,8558125323
43390,4683445874
43532,4680924726
46106,5413553493
43541,9914120864
44139,1065943697
44584,8530682613
45765,6372150041
43680,6013815502
42865,8758473118
42413,6035568311
46053,8169606685
45405,9037206922
43201,9945837606
44967,7313347798
43320,4637847442
42878,8424963696
45994,4715184396
46063,5540028074
43569,7764066281
42750,9680380446
43197,3771182081
45505,3670268973
43700,2679815812
42622,4936763518
45070,6534145506
42721,7592287645
43349,7439270130
45333,6097545808
45517,7276250801
42793,9188943671
42738,2078375940
44154,7342859654
43712,9259344630
43313,4253636103
43314,2205075126
42719,2568961631
43627,2379747835
42818,9537724045
43117,9647949960
42819,2140298280
45371,9279679612
43119,1238254110
42821,7634853764
45390,5129893653
45388,7412724167
42934,8323409215
42822,4322545176
43793,8766104668
42787,3607993361
43252,9067476453
43626,4187077288
43804,5360479380
43281,4693180904
42734,1174245142
43425,4390212071
43222,7446383651
43223,4404071935
45746,5982336246
43217,1075232935
43757,1466567155
43232,4347904498
43509,7758085140
43679,3363218223
43754,6610370556
43047,4241950795
42685,9716857931
43550,7513702492
46086,7420262084
44230,3340059052
42833,4919263997
43048,4540169766
43638,5026302371
43571,7546451130
45298,5449824663
45750,3119360793
46101,3994006994
43150,7279667807
43055,3362213485
43795,1355763115
43628,1155716774
42922,3247332682
43788,1629553476
45394,9905419552
42829,8272015288
42926,2014997905
42763,4103365915
45786,5249150291
44691,1747463449
44692,7123179025
43163,7241033147
43833,8397729753
43526,8216585010
43306,6182013420
43328,1770914103
43717,2731253005
43513,2328971578
43573,3577817035
43173,9592936762
42690,4987411560
44930,1712152315
42830,3239843117
43779,1087967215
44199,9128401468
43054,8632272554
46161,6371028088
44192,6311816831
44266,7591323418
45415,5326182606
42770,1996157452
43623,6792713651
46109,2583198707
45990,8582946851
45991,9358673264
43393,6456588096
43208,5323261094
43800,3537453576
43801,1106621976
44851,6106362445
42841,2011530813
43832,1148466780
42931,7706211502
45772,1070163224
45089,5371397706
43226,7928516081
44617,7386969172
45734,7051864612
44982,5271288478
45360,6170988532
43630,7646139988
42848,5496241656
43561,6066196132
43631,8190762456
44272,5575485025
43542,7986434387
42849,6635268483
42882,9516848624
43102,6754279375
43589,6907963847
43397,3485782260
45740,5330217960
43207,9631206156
43427,4957406414
43236,7093508286
43235,9516702150
42850,6371755334
43632,8451629460
43740,1215883934
45773,6958134270
46027,2138550783
43590,8569129983
43827,3768808983
43591,8173412998
43585,2654233896
43317,9614525141
44218,6766013687
42777,8153192373
42851,2955822434
42919,5686553474
46083,2001360576
43400,7095756003
43806,1919092533
42853,6423048123
43205,7746091942
42427,4260437638
46039,1258930260
43592,2119376935
43295,8369196513
42877,3352797731
44114,8058780033
42437,4209975325
43114,4768832981
45001,5108593386
42923,5779091441
43203,7410275763
43377,1397082756
43504,9392392113
43180,8122464270
42927,2640715378
43535,5579273643
42713,6189352751
42723,6294505724
42722,5486813302
42683,5456095108
43811,2688631514
43428,9529554374
45460,1640807370
43593,1008364173
42707,7628951395
42805,9747443395
45321,5518141154
43255,7159577422
43791,7076633951
45488,7782190143
43744,8354191645
45015,1257845297
43118,7614792898
43642,4601071383
42739,3032234302
44268,4677096374
43152,1997181257
45060,4208325300
44953,7604784843
43326,5035051743
43401,3026733085
42748,9722536683
43298,3745600593
42720,5545654727
43181,2053136046
44116,2013387041
46076,8445856588
43938,9646387503
45030,5138526431
42820,9942197534
42285,8193258303
42775,6458063038
43594,7947451743
42700,5487279535
42701,7408148073
42737,7078930470
42735,8490876625
43633,6651159524
45741,1501460976
42749,9321604920
44536,5998181872
43732,1408679368
43734,3735946798
43576,5182896374
44656,6966792843
44657,7510316602
43507,5711460671
43636,6527483717
42857,8567528106
43564,5022951660
42729,1004542391
42780,1313685281
43125,9326448516
42921,4713617485
43414,5342490775
42939,3228979803
43256,7010769330
45970,2643732448
42449,5319278043
43534,8622758744
42710,5044209254
46119,8018369526
42802,3128312913
45787,9560926530
44292,5268038850
45980,7353216606
42797,2310813922
46344,3466909642
43305,2241317812
42776,1337039706
43600,5215020862
42730,1268984316
42450,5705177218
46030,6931652692
42516,5606339354
44622,8232522715
42861,6902201215
43601,5707108934
45299,1779314218
42852,4409926211
46141,2027568341
43647,2284886968
43648,5793155177
43783,3201406198
42862,5615780782
43234,7652135676
45458,9683244336
43293,9429061937
42856,4968460980
44619,5648841437
44621,9029638192
42743,7099582094
45694,2308822784
