StudentID,InterIntraDistrictStateCode,NonpublicSchoolStateCode,NextSchoolCode,ReportingSchoolCode,SchoolCode,StudentNumber,AcademicYear,Track,AttendanceProgramCode,AttendanceProgramCodeAdditional1,AttendanceProgramCodeAdditional2,Grade,ElementaryTeacherNumber,ElementaryTeacherName,EnterDate,LeaveDate,ExitReasonCode,InterIntraDistrictTransferCode,ExtractedAt
43629,0,,0,0,16,5950,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43672,0,,0,0,16,5951,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43684,0,,0,0,16,5952,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43730,,,0,0,16,5953,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,2,2026-02-22T12:29:20.647333
43746,0,,0,0,16,5954,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43747,0,,0,0,16,5955,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43748,0,,0,0,16,5956,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43749,0,,0,0,16,5957,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43750,0,,0,0,16,5958,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43943,0,,0,0,16,5959,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43989,0,,0,0,16,5960,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44023,0,,0,0,16,5961,2024-2025,,S,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44039,0,,0,0,16,5962,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44070,0,,0,0,16,5964,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44071,0,,0,0,16,5965,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44072,0,,0,0,16,5966,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44073,0,,0,0,16,5967,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44078,0,,0,0,16,5968,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44080,0,,0,0,16,5969,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44081,0,,0,0,16,5970,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44082,0,,0,0,16,5971,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44086,0,,0,0,16,5972,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44091,0,,0,0,16,5973,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44175,,,0,0,16,5975,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44176,,,0,0,16,5976,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44277,,,0,0,16,5978,2024-2025,,S,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44281,,,0,0,16,5979,2024-2025,,S,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44525,,,0,0,16,5980,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44534,,,0,0,16,5981,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44535,,,0,0,16,5982,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44561,,,0,0,16,5983,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44632,,,0,0,16,5984,2024-2025,,S,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
44969,,,0,0,16,5986,2024-2025,,,,,8,0,,2025-05-05T00:00:00,,,,2026-02-22T12:29:20.647333
44969,,,0,0,16,5986,2024-2025,,I,,,8,0,,2025-04-28T00:00:00,2025-05-02T00:00:00,440,,2026-02-22T12:29:20.647333
44969,,,0,0,16,5986,2024-2025,,,,,8,0,,2024-08-21T00:00:00,2025-04-25T00:00:00,440,,2026-02-22T12:29:20.647333
45704,,,0,0,16,5987,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
45984,,,0,0,16,5989,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43555,0,,0,0,16,5990,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43577,0,,0,0,16,5991,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43578,0,,0,0,16,5992,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43690,0,,0,0,16,5993,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,2,2026-02-22T12:29:20.647333
43691,0,,0,0,16,5994,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,2,2026-02-22T12:29:20.647333
43695,0,,0,0,16,5995,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43703,,,0,0,16,5996,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43812,,,0,0,16,5997,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43931,0,,0,0,16,5998,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43934,0,,0,0,16,5999,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
43936,0,,0,0,16,6000,2024-2025,,,,,8,0,,2024-08-21T00:00:00,,,,2026-02-22T12:29:20.647333
