StudentID,InterIntraDistrictStateCode,NonpublicSchoolStateCode,NextSchoolCode,ReportingSchoolCode,SchoolCode,StudentNumber,AcademicYear,Track,AttendanceProgramCode,AttendanceProgramCodeAdditional1,AttendanceProgramCodeAdditional2,Grade,ElementaryTeacherNumber,ElementaryTeacherName,EnterDate,LeaveDate,ExitReasonCode,InterIntraDistrictTransferCode,ExtractedAt
45872,,,0,0,16,5682,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43400,0,,0,0,16,5687,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43401,0,,0,0,16,5688,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43405,0,,0,0,16,5689,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43407,0,,0,0,16,5690,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43423,0,,0,0,16,5692,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43528,0,,0,0,16,5693,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43532,0,,0,0,16,5694,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,2,2026-02-22T12:28:23.132964
43557,0,,0,0,16,5695,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43624,0,,0,0,16,5696,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43626,0,,0,0,16,5698,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43627,0,,0,0,16,5699,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43628,0,,0,0,16,5700,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43632,0,,0,0,16,5701,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43633,0,,0,0,16,5702,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43636,0,,0,0,16,5703,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43638,0,,0,0,16,5704,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43647,0,,0,0,16,5706,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43648,0,,0,0,16,5707,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43650,0,,0,0,16,5708,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43651,0,,0,0,16,5709,2023-2024,,H,,,8,0,,2024-03-18T00:00:00,,,,2026-02-22T12:28:23.132964
43651,0,,0,0,16,5709,2023-2024,,,,,8,0,,2023-08-22T00:00:00,2024-03-15T00:00:00,440,,2026-02-22T12:28:23.132964
43652,0,,0,0,16,5710,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,2,2026-02-22T12:28:23.132964
43653,0,,0,0,16,5711,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43656,0,,0,0,16,5712,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43663,0,,0,0,16,5713,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43666,0,,0,0,16,5714,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43668,0,,0,0,16,5715,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43669,0,,0,0,16,5716,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43671,0,,0,0,16,5717,2023-2024,,,,,8,0,,2023-08-22T00:00:00,2024-01-17T00:00:00,180,,2026-02-22T12:28:23.132964
43677,0,,0,0,16,5719,2023-2024,,,,,8,0,,2024-04-15T00:00:00,,,,2026-02-22T12:28:23.132964
43677,0,,0,0,16,5719,2023-2024,,I,,,8,0,,2024-04-01T00:00:00,2024-04-05T00:00:00,440,,2026-02-22T12:28:23.132964
43677,0,,0,0,16,5719,2023-2024,,,,,8,0,,2023-08-22T00:00:00,2024-03-29T00:00:00,440,,2026-02-22T12:28:23.132964
43678,0,,0,0,16,5720,2023-2024,,S,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43700,0,,0,0,16,5721,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43723,0,,0,0,16,5722,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43729,0,,0,0,16,5723,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43734,0,,0,0,16,5724,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43788,0,,0,0,16,5725,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43791,0,,0,0,16,5726,2023-2024,,,,,8,0,,2024-03-05T00:00:00,,,,2026-02-22T12:28:23.132964
43791,0,,0,0,16,5726,2023-2024,,I,,,8,0,,2024-02-26T00:00:00,2024-03-04T00:00:00,440,,2026-02-22T12:28:23.132964
43791,0,,0,0,16,5726,2023-2024,,,,,8,0,,2023-08-22T00:00:00,2024-02-16T00:00:00,440,,2026-02-22T12:28:23.132964
43833,0,,0,0,16,5727,2023-2024,,S,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43861,0,,0,0,16,5728,2023-2024,,,,,8,0,,2024-02-26T00:00:00,,,,2026-02-22T12:28:23.132964
43861,0,,0,0,16,5728,2023-2024,,I,,,8,0,,2024-02-12T00:00:00,2024-02-16T00:00:00,440,,2026-02-22T12:28:23.132964
43861,0,,0,0,16,5728,2023-2024,,,,,8,0,,2023-08-22T00:00:00,2024-02-09T00:00:00,440,,2026-02-22T12:28:23.132964
44171,,,0,0,16,5730,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,2,2026-02-22T12:28:23.132964
44536,,,0,0,16,5731,2023-2024,,,,,8,0,,2024-05-03T00:00:00,,,,2026-02-22T12:28:23.132964
44536,,,0,0,16,5731,2023-2024,,I,,,8,0,,2024-04-24T00:00:00,2024-05-02T00:00:00,440,,2026-02-22T12:28:23.132964
44536,,,0,0,16,5731,2023-2024,,,,,8,0,,2023-08-22T00:00:00,2024-04-23T00:00:00,440,,2026-02-22T12:28:23.132964
44574,,,0,0,16,5732,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,2,2026-02-22T12:28:23.132964
45773,,,0,0,16,5738,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43164,0,,0,0,16,5740,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43181,0,,0,0,16,5741,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43427,0,,0,0,16,5744,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43436,0,,0,0,16,5745,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43440,0,,0,0,16,5746,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43526,0,,0,0,16,5748,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43529,0,,0,0,16,5749,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43530,0,,0,0,16,5750,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43534,0,,0,0,16,5752,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43535,0,,0,0,16,5753,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43539,0,,0,0,16,5754,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43540,0,,0,0,16,5755,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43542,0,,0,0,16,5756,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43548,0,,0,0,16,5759,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43550,0,,0,0,16,5761,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43551,0,,0,0,16,5762,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,2,2026-02-22T12:28:23.132964
43552,0,,0,0,16,5763,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43556,0,,0,0,16,5764,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43558,0,,0,0,16,5765,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43560,0,,0,0,16,5766,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43561,0,,0,0,16,5767,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43562,0,,0,0,16,5768,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43563,0,,0,0,16,5769,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43567,0,,0,0,16,5770,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43568,0,,0,0,16,5771,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43581,0,,0,0,16,5772,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43584,0,,0,0,16,5773,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43585,0,,0,0,16,5774,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43600,0,,0,0,16,5776,2023-2024,,,,,8,0,,2023-11-02T00:00:00,,,,2026-02-22T12:28:23.132964
43600,0,,0,0,16,5776,2023-2024,,I,,,8,0,,2023-10-23T00:00:00,2023-10-31T00:00:00,440,,2026-02-22T12:28:23.132964
43600,0,,0,0,16,5776,2023-2024,,,,,8,0,,2023-08-22T00:00:00,2023-10-20T00:00:00,440,,2026-02-22T12:28:23.132964
43622,0,,0,0,16,5777,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43630,0,,0,0,16,5778,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43642,0,,0,0,16,5779,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,,2026-02-22T12:28:23.132964
43645,,,0,0,16,5780,2023-2024,,,,,8,0,,2023-08-22T00:00:00,,,2,2026-02-22T12:28:23.132964
